model,model_clean,single_asr,multi_asr,multi_only_asr
anthropic/claude-3.5-sonnet,Claude 3.5 Sonnet,0.0375,0.032499999999999994,0.0
anthropic/claude-3.7-sonnet,Claude 3.7 Sonnet,0.16666666666666669,0.23125,0.06458333333333333
meta-llama/llama-3.1-8b-instruct,Llama 3.1 8B,0.28840561224489797,0.45575396825396824,0.16734835600907028
meta-llama/llama-3.2-1b-instruct,Llama 3.2 1B,0.3362477954144621,0.541412037037037,0.2051642416225749
google/gemini-2.0-flash-lite-001,Gemini 2.0 Flash Lite,0.35124999999999995,0.5740277777777778,0.22277777777777785
gpt-4o-mini-2024-07-18,GPT-4o Mini,0.5174669312169312,0.6843981481481481,0.16693121693121693
meta-llama/llama-3.1-70b-instruct,Llama 3.1 70B,0.6175595238095237,0.6892857142857143,0.07172619047619055
meta-llama/llama-3.2-3b-instruct,Llama 3.2 3B,0.5114484126984128,0.7688503086419752,0.25740189594356244
