model,model_clean,single_asr,multi_asr,multi_only_asr
anthropic/claude-3.5-sonnet,Claude 3.5 Sonnet,0.0,0.05,0.05
anthropic/claude-3.7-sonnet,Claude 3.7 Sonnet,0.06896551724137931,0.1694915254237288,0.1005260081823495
qwen/qwen3-8b,Qwen3 8B,0.46153846153846156,0.45,0.0
meta-llama/llama-3.1-8b-instruct,Llama 3.1 8B,0.34375,0.6625,0.31875
meta-llama/llama-3.1-70b-instruct,Llama 3.1 70B,0.575,0.725,0.15000000000000002
google/gemini-2.0-flash-lite-001,Gemini 2.0 Flash Lite,0.55,0.8,0.25
meta-llama/llama-3.2-1b-instruct,Llama 3.2 1B,0.4222222222222222,0.8111111111111111,0.3888888888888889
gpt-4o-mini-2024-07-18,GPT-4o Mini,0.5777777777777777,0.8888888888888888,0.3111111111111111
meta-llama/llama-3.2-3b-instruct,Llama 3.2 3B,0.6111111111111112,0.9,0.28888888888888886
