model,model_clean,single_asr,multi_asr,multi_only_asr
anthropic/claude-3.5-sonnet,Claude 3.5 Sonnet,0.0375,0.2875,0.24999999999999997
anthropic/claude-3.7-sonnet,Claude 3.7 Sonnet,0.20689655172413793,0.4173728813559322,0.21047632963179427
qwen/qwen3-8b,Qwen3 8B,0.7532051282051282,0.6875,0.0
meta-llama/llama-3.1-8b-instruct,Llama 3.1 8B,0.56015625,0.78203125,0.22187499999999993
meta-llama/llama-3.1-70b-instruct,Llama 3.1 70B,0.69140625,0.78828125,0.09687500000000004
meta-llama/llama-3.2-1b-instruct,Llama 3.2 1B,0.6416666666666667,0.9097222222222222,0.2680555555555555
meta-llama/llama-3.2-3b-instruct,Llama 3.2 3B,0.7111111111111111,0.9541666666666667,0.24305555555555558
gpt-4o-mini-2024-07-18,GPT-4o Mini,0.7472222222222222,0.9541666666666667,0.2069444444444445
google/gemini-2.0-flash-lite-001,Gemini 2.0 Flash Lite,0.7125,0.95625,0.24375000000000002
