model,model_clean,single_asr,multi_asr,multi_only_asr
anthropic/claude-3.7-sonnet,Claude 3.7 Sonnet,0.1,0.2,0.1
meta-llama/llama-3.1-8b-instruct,Llama 3.1 8B,0.12232142857142857,0.24375,0.12142857142857143
meta-llama/llama-3.2-1b-instruct,Llama 3.2 1B,0.1375,0.3263888888888889,0.18888888888888888
google/gemini-2.0-flash-lite-001,Gemini 2.0 Flash Lite,0.1375,0.35,0.21249999999999997
gpt-4o-mini-2024-07-18,GPT-4o Mini,0.35,0.4708333333333333,0.12083333333333335
meta-llama/llama-3.1-70b-instruct,Llama 3.1 70B,0.5383928571428571,0.6160714285714286,0.07767857142857149
meta-llama/llama-3.2-3b-instruct,Llama 3.2 3B,0.37083333333333335,0.6527777777777778,0.28194444444444444
