model,model_clean,single_asr,multi_asr,multi_only_asr
anthropic/claude-3.5-sonnet,Claude 3.5 Sonnet,0.0625,0.0875,0.024999999999999994
anthropic/claude-3.7-sonnet,Claude 3.7 Sonnet,0.475,0.74375,0.26875000000000004
qwen/qwen3-8b,Qwen3 8B,1.0,0.9,0.0
meta-llama/llama-3.2-1b-instruct,Llama 3.2 1B,0.9708333333333333,0.9666666666666667,0.0
meta-llama/llama-3.2-3b-instruct,Llama 3.2 3B,0.9916666666666667,0.975,0.0
gpt-4o-mini-2024-07-18,GPT-4o Mini,0.9833333333333333,0.9833333333333333,0.0
meta-llama/llama-3.1-70b-instruct,Llama 3.1 70B,0.9958333333333333,0.9875,0.0
meta-llama/llama-3.1-8b-instruct,Llama 3.1 8B,0.9625,1.0,0.03749999999999998
google/gemini-2.0-flash-lite-001,Gemini 2.0 Flash Lite,0.95625,1.0,0.043749999999999956
