model,model_clean,single_asr,multi_asr,multi_only_asr
anthropic/claude-3.5-sonnet,Claude 3.5 Sonnet,0.0375,0.0875,0.049999999999999996
anthropic/claude-3.7-sonnet,Claude 3.7 Sonnet,0.1961206896551724,0.2627118644067797,0.06659117475160728
qwen/qwen3-8b,Qwen3 8B,0.7532051282051282,0.45,0.0
meta-llama/llama-3.1-8b-instruct,Llama 3.1 8B,0.56015625,0.74296875,0.18281249999999993
meta-llama/llama-3.1-70b-instruct,Llama 3.1 70B,0.69140625,0.77265625,0.08125000000000004
meta-llama/llama-3.2-1b-instruct,Llama 3.2 1B,0.6416666666666667,0.8541666666666666,0.2124999999999999
gpt-4o-mini-2024-07-18,GPT-4o Mini,0.7472222222222222,0.9125,0.16527777777777775
meta-llama/llama-3.2-3b-instruct,Llama 3.2 3B,0.7111111111111111,0.9138888888888889,0.20277777777777772
google/gemini-2.0-flash-lite-001,Gemini 2.0 Flash Lite,0.7125,0.95,0.23749999999999993
