model,model_clean,single_asr,multi_asr,multi_only_asr
anthropic/claude-3.5-sonnet,Claude 3.5 Sonnet,0.0,0.2361111111111111,0.2361111111111111
google/gemini-2.5-flash-preview,Gemini 2.5 Flash,0.11764705882352941,0.7708333333333334,0.6531862745098039
openai/gpt-4.1,GPT-4.1,0.05555555555555555,0.6527777777777778,0.5972222222222222
openai/gpt-4.1-nano,GPT-4.1 Nano,0.11029411764705882,0.7291666666666666,0.6188725490196079
deepseek/deepseek-chat-v3-0324,Deepseek Chat V3,0.013888888888888888,0.2986111111111111,0.2847222222222222
openai/gpt-4o,GPT-4o,0.0763888888888889,0.6944444444444444,0.6180555555555556
google/gemini-2.5-pro-preview-03-25,Gemini 2.5 Pro,0.058823529411764705,0.7916666666666666,0.7328431372549019
anthropic/claude-3.7-sonnet,Claude 3.7 Sonnet,0.05555555555555555,0.7569444444444444,0.7013888888888888
openai/gpt-4.1-mini,GPT-4.1 Mini,0.0,0.7916666666666666,0.7916666666666666
