model,model_clean,single_original_asr,single_refusal_handled_asr,multi_asr
gpt-4o-mini-2024-07-18,GPT-4o Mini,0.7385057471264368,0.7385057471264368,0.9525862068965517
meta-llama/llama-3.2-3b-instruct,Llama 3.2 3B,0.7011494252873564,0.7011494252873564,0.9525862068965517
meta-llama/llama-3.1-405b-instruct,Llama 3.1 405B,0.757183908045977,0.757183908045977,0.9568965517241379
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,0.8160919540229885,0.8160919540229885,0.9425287356321839
meta-llama/llama-3.1-70b-instruct,Llama 3.1 70B,0.8520114942528736,0.8520114942528736,0.9612068965517241
meta-llama/llama-3.2-1b-instruct,Llama 3.2 1B,0.6293103448275862,0.6293103448275862,0.9066091954022989
meta-llama/llama-3.1-8b-instruct,Llama 3.1 8B,0.6738505747126436,0.6738505747126436,0.9367816091954023
